ProductID,ProductName,Category,Price,Brand,Rating,Stock,WarrantyYears,SupplierCountry,WeightKg,VolumeCm3,PowerWatt,ConnectivityType,MaterialType,UsageType,PriceCategory
1,Wireless Mouse,Accessories,15.99,Logitech,4.4,158,3,USA,5.26,11659,2,Wireless,Metal,Peripheral,Low
2,Keyboard,Accessories,22.5,Logitech,4.2,106,3,China,5.56,16437,0,Both,Metal,Peripheral,Medium
3,Monitor,Electronics,150.0,Samsung,4.9,155,3,Japan,2.26,14371,10,None,Plastic,Peripheral,High
4,USB Cable,Accessories,5.99,Anker,4.3,283,2,Japan,2.73,12261,0,None,Metal,Display,Low
5,Laptop Stand,Accessories,25.0,AmazonBasics,4.3,274,1,South Korea,0.47,3032,20,Both,Mixed,Furniture,Medium
6,Webcam,Electronics,45.0,Logitech,4.1,257,1,South Korea,5.45,3815,10,Wireless,Mixed,Storage,Medium
7,Headset,Accessories,29.99,Sony,4.3,252,1,Germany,2.67,24907,5,Both,Metal,Accessory,Medium
8,External HDD,Storage,60.0,WD,4.7,114,3,China,0.96,20116,5,Both,Mixed,Peripheral,Medium
9,Portable SSD,Storage,80.0,Samsung,4.6,168,3,China,1.13,17074,2,Wireless,Mixed,Accessory,High
10,Printer,Electronics,120.0,HP,4.9,40,3,China,5.16,17893,10,Wireless,Plastic,Storage,High
11,Gaming Mouse,Accessories,35.0,Razer,4.9,156,2,USA,2.86,16369,0,Wired,Mixed,Display,Medium
12,Mechanical Keyboard,Accessories,70.0,Corsair,4.2,58,2,Germany,3.44,15035,10,Wireless,Mixed,Display,High
13,4K Monitor,Electronics,300.0,LG,5.0,38,1,USA,0.13,5993,0,None,Mixed,Furniture,Premium
14,HDMI Cable,Accessories,10.0,UGreen,4.9,125,3,USA,3.83,15020,20,Both,Mixed,Furniture,Low
15,Cooling Pad,Accessories,20.0,CoolerMaster,4.6,274,1,Japan,5.58,9683,0,Wired,Plastic,Storage,Low
16,Conference Webcam,Electronics,90.0,Logitech,4.6,66,2,China,5.68,15257,20,Wireless,Plastic,Peripheral,High
17,Bluetooth Headset,Accessories,55.0,Sony,4.2,190,3,South Korea,3.56,7188,5,Wired,Metal,Accessory,Medium
18,NAS Storage,Storage,200.0,Synology,4.1,227,1,Germany,1.33,11218,0,None,Metal,Storage,High
19,Flash Drive,Storage,12.0,SanDisk,4.3,76,3,Japan,1.3,6502,5,Both,Metal,Peripheral,Low
20,Inkjet Printer,Electronics,110.0,Canon,4.6,297,3,Japan,5.75,24975,0,Wireless,Plastic,Furniture,High
21,Gaming Headset,Accessories,65.0,HyperX,4.7,47,1,Japan,2.5,4697,20,Wired,Plastic,Furniture,High
22,Ergonomic Chair,Furniture,180.0,IKEA,4.9,163,3,China,4.14,3143,30,Wired,Metal,Peripheral,High
23,Desk Lamp,Accessories,18.0,Philips,4.2,156,2,South Korea,5.71,19716,5,Wired,Metal,Accessory,Low
24,Smartphone Stand,Accessories,14.0,Anker,4.9,60,2,USA,3.21,12984,10,Wireless,Metal,Peripheral,Low
25,Surge Protector,Accessories,30.0,Belkin,4.5,216,2,Germany,2.0,15790,5,None,Plastic,Accessory,Medium
